"","beta.pooled","tau","tauN.hat","tauB.hat","tauF.hat","biasBnor","biasBbin","biasF","mseBnor","mseBbin","mseF","RhatN","RhatB","alphaBin","alphaNor","alphaF","betaBin","betaNor","betaF","MCseBin","MCseNor","MCseF"
"1",0.03,0.06,0.0765931975787473,0.0633543716311321,0.0558677974546989,-0.00470255333491048,0.00365192912309018,0.00360557782520851,0.000463253193400969,0.000437604309072212,0.000325956688600556,1.00151481918424,1.00278778086674,NA,NA,NA,0.72,1,0.42,0.00207015278495378,0.00211091244939793,0.00177796983631832
"2",0.03,0.03,0.106320124918132,0.034148249100203,0.029826335685256,-0.00199481698453832,0.0017725192552382,0.000344522102914503,0.000139607590518892,0.000208872685654157,9.90244416259874e-05,1.00152477176792,1.00325909210059,NA,NA,NA,0.39,1,0.15,0.00144155801357584,0.00117046263717434,0.000999523857081287
"3",0.03,0.01,0.139908164574917,0.0160660346209044,0.0134506934605738,-0.00092030121761566,0.000954461669335403,-0.00101122088982058,3.78861526131029e-05,5.350162880009e-05,3.46253808404788e-05,1.00143159347696,1.00808689169222,NA,NA,NA,0.04,1,0.02,0.000728847379250969,0.000611664381813568,0.000582599652484833
"4",0.03,0.005,0.152062641040573,0.0143151586675119,0.00871333783399851,-0.000706233105008915,-0.000416357716902731,-0.000674661004120128,4.73344283834872e-05,6.15041639995875e-05,2.63835037958017e-05,1.00159488697799,1.00780047025026,NA,NA,NA,0.07,1,0,0.000787085213842905,0.000687813569884998,0.000511763995533545
"5",0.03,0.001,0.164110436027924,0.0131536653067961,0.00874898287598788,-0.000331302815020331,8.17592339369504e-05,0.000234558396089244,3.3804896473793e-05,3.90625890746741e-05,2.59366472405301e-05,1.00155555252897,1.00804905442639,NA,NA,NA,0.01,1,0,0.000628095602501899,0.00058339943277929,0.000511302847648708
"6",0.1,0.06,0.0569953138591412,0.067884701277774,0.0540420745069262,0.0061685101806087,0.00281441358082868,-0.00208638192574563,0.000521775890829997,0.000596913114509984,0.000371184413997673,1.00146625225964,1.00422484728438,NA,NA,NA,0.06,0.69,0,0.00243914248614911,0.0022104558078829,0.00192493322580657
"7",0.1,0.03,0.0765080966186655,0.0388545700939011,0.0304260611226284,0.00453833914211117,0.00111103651473778,-0.00287620780653702,0.000170368605763703,0.00025856069988998,0.00013904442986676,1.00142022355608,1.0044836200163,NA,NA,NA,0,1,0,0.0016122206836713,0.00122997940195812,0.00114931625927861
"8",0.1,0.01,0.0978876670867222,0.0236755033288194,0.0134051006057536,0.0030051565517111,-8.45706963092802e-05,-0.00314308815717268,7.79588761552598e-05,8.59039813194664e-05,7.14912997863229e-05,1.00156185521575,1.00824648527985,NA,NA,NA,0,1,0,0.000931474496995734,0.000834410880637918,0.000788889365203352
"9",0.1,0.005,0.103751376711287,0.0219663910233845,0.0119462015703343,0.00355452989168133,-0.000861430240979705,-0.00230442034348502,6.60102837193244e-05,0.000100106617770942,7.67211110590999e-05,1.0014745515413,1.00952763318855,NA,NA,NA,0,1,0,0.00100183949858141,0.000734266630407499,0.000849306062187839
"10",0.1,0.001,0.107836610122263,0.0189450610582398,0.0106979131903251,0.00227722321102675,-0.000741364859609697,-0.00199666652585916,4.98129713435062e-05,0.000104638853944476,6.44412917238981e-05,1.00167550433614,1.00653175377762,NA,NA,NA,0,1,0,0.00102538109244394,0.000671401562771185,0.000781442686191468
