"","true.beta1","BayesB1bias","BayesN1bias","Freq1bias","BayesB1cover","BayesN1cover","Freq1cover","BayesB1mse","BayesN1mse","Freq1mse","BayesB1power","BayesN1power","Freq1power","BayesB1se2mean","BayesN1se2mean","Freq1se2mean","mcse.biasB1","mcse.biasN1","mcse.biasF1","RhatB1","RhatN1","true.beta2","BayesB2bias","BayesN2bias","Freq2bias","BayesB2cover","BayesN2cover","Freq2cover","BayesB2mse","BayesN2mse","Freq2mse","BayesB2power","BayesN2power","Freq2power","BayesB2se2mean","BayesN2se2mean","Freq2se2mean","mcse.biasB2","mcse.biasN2","mcse.biasF2","RhatB2","RhatN2","true.tau","tau.hatB","tau.hatN","tau.hatF","tau.hatF.1"
"1",0,-0.0132997305551811,-0.0473146361010915,0.00206176431954356,0.88,1,0.93,0.000366875470838437,0.0204906189331844,7.29878547478656e-05,0.12,0,0.07,0.000244040327462397,0.226572032028588,6.89267468577394e-05,0.00138532218474098,0.0135780363882136,0.000833254436498644,1.49769699639878,1.18672693763951,0,1.26458029320918,0.111330226640031,-0.00454044768678581,0.64,1,0.87,3.07052000484899,0.144228856157047,0.000456691098156877,0.36,0,0.13,1.29022959488663,1.39974243645743,0.000349337294741046,0.121910576884547,0.0364919303094584,0.00209876210017613,6.71209541931536,1.24019370651702,0.001,0.0290787388369091,0.151391656834104,0.0187072046504872,0.0470797640044878
"2",0.02,-0.0118127834046732,-0.0284161720016889,0.00135828942352027,0.91,1,0.92,0.000334274188203135,0.0165930817536282,0.000110596635179309,0.15,0,0.6,0.000252297041762409,0.180505070800872,8.66099073594689e-05,0.00140249538229101,0.0126273724333166,0.00104809439885043,1.43223879422378,1.19025561789402,0,1.18509472548881,0.0793683143319254,-0.00220616803874761,0.68,1,0.89,2.5757113800139,0.139363359036653,0.00117600492020052,0.32,0,0.11,0.781692360171963,1.12874722265419,0.000417956976883381,0.108770069395436,0.0366617117474091,0.0034394293377752,4.76440107846267,1.250676481473,0.001,0.0289018979481111,0.139028397299043,0.0198383194733801,0.0500154966969719
"3",0.04,-0.0130211394134794,-0.0111608929033349,-0.00186971641911884,0.94,1,0.94,0.000488452399567222,0.0127965349316023,0.00013143356530858,0.35,0,0.94,0.000349557689284772,0.125827048401537,0.000117995969923272,0.00179478010791777,0.011313694839496,0.00113679385150287,1.56303248035874,1.21256411362362,0.02,0.831300305972769,0.0323924782833527,0.00377166512673229,0.75,1,0.89,1.53263026997066,0.108251783984132,0.000670289004951303,0.25,0,0.25,0.887747003784729,0.780797354051275,0.000516295843301672,0.0921992830259947,0.0329067417081426,0.00257427747463145,5.09842670522301,1.26043483104193,0.001,0.0309490783099341,0.121744396394998,0.0184085393857341,0.05299698484821
"4",0.06,-0.00843646556297956,-0.0144608075351495,-0.00403032628970829,0.95,1,0.95,0.000373898842867106,0.00669325238067675,0.000199598570923774,0.71,0,1,0.000465804336516296,0.0834041650277525,0.000183920878210642,0.00174866440136571,0.00809298076344283,0.00136090819691369,1.52760645682868,1.19309667474114,0.05,0.615416675515951,0.0310366199221526,0.0085337887978166,0.77,1,0.91,1.21488595244303,0.0827434356920575,0.0011505331997174,0.23,0,0.55,0.887229221653445,0.667736656353047,0.00088654176261736,0.0919018068397097,0.0287412988881229,0.00329938416119555,6.12362326007407,1.23056194142493,0.001,0.0326862307159551,0.103114305056197,0.021415070852936,0.0677079594134326
"5",0.1,-0.0101712096899614,-0.0118407437036969,-0.00309366667223342,0.94,1,0.89,0.000568817045932054,0.00484533866297589,0.000303634559661472,0.92,0,1,0.000600898605985205,0.0658039795980001,0.000253323179251129,0.00216809635668426,0.00689395537571985,0.00172346780491298,1.48661830727779,1.25181406542587,0.03,0.580010846468339,0.0491583951127467,0.00613749649262224,0.86,1,0.87,1.05639982123325,0.0444963622638246,0.00158666602556388,0.15,0,0.28,1.16679175037304,0.46230123539974,0.00117419861718062,0.0852795308141531,0.0206167075656153,0.0039555576071528,5.35682285145081,1.310378321711,0.001,0.0379004995484354,0.0907394854844686,0.0269785138057263,0.0819804079892425
"6",0,-0.00483173017283586,-0.0168025310679077,0.00043574590020628,0.96,1,0.86,0.000483770725600644,0.00411014638786119,0.000469309425940521,0.04,0,0.14,0.000587159334921778,0.0586591722856434,0.00027025250494533,0.00215656177239538,0.00621810758958775,0.00217682827246148,1.44417067609361,1.1892405589588,0,0.298890901979957,0.0332468662165298,0.000671531433906846,0.87,1,0.79,0.7452847588729,0.0274429039386748,0.00259909718061947,0.13,0,0.21,0.846875857271464,0.378234679237905,0.00123971214805302,0.081398693781649,0.0163106056546891,0.00512337308609481,4.83955848792938,1.23545190459397,0.03,0.0426161013393344,0.0875938831881333,0.0293057702516458,0.0749345756555718
"7",0.02,-0.000975234359308049,-0.0118543123092841,-0.00187750692265056,0.96,1,0.93,0.000468809086728539,0.00521024696512781,0.000372941560304835,0.15,0,0.22,0.000599616354299688,0.0512855436602647,0.000310887083584624,0.00217389936083528,0.00715606844601547,0.00193170393213259,1.36651463536422,1.22225002134006,0,0.119219041308749,0.0120675250964783,0.00557776534210893,0.81,1,0.91,0.73530817437405,0.0504759582160386,0.00225121994209614,0.19,0,0.09,0.799455903803621,0.375391708205239,0.00158503590542028,0.0853451101345207,0.0225474433709569,0.00473553989955185,4.10760888608274,1.28351012483036,0.03,0.0423771371220975,0.0830289814826679,0.0318851358999925,0.0911028198765345
"8",0.04,-0.00589528138013732,-0.0103039354282715,-0.00328922087117061,0.97,1,0.9,0.000685821720744058,0.003594388375258,0.00047909050692031,0.28,0,0.51,0.000797637615210933,0.0393708217357356,0.000393643719197245,0.0025644566994914,0.00593586708748461,0.0021748598770165,1.2719937234833,1.23768302220922,0.02,0.0427087677334989,0.0223075252663073,0.00975925586202073,0.88,1,0.85,0.878250540815688,0.0421650569584775,0.0033035002737034,0.12,0,0.22,0.965392870685269,0.345697956034989,0.00212756776860769,0.0940892817978546,0.0205154367292442,0.00569268287988533,4.26926194913635,1.28479248236291,0.03,0.0486139908780342,0.0732326197797821,0.0312927166859379,0.0991844080363496
"9",0.06,0.000701306608048603,-0.0109523504765168,-0.0106281542927348,0.97,1,0.91,0.000938051709955995,0.00315039462024339,0.000807173710616657,0.44,0,0.61,0.00118808352762559,0.0279980061592162,0.000593410068864111,0.00307738554751523,0.00553267670372203,0.00264807161959221,1.29092465984974,1.21423107421033,0.05,-0.259971218966011,0.0373363362071524,0.0266911708400042,0.91,1,0.86,0.737919623545911,0.0259857819263829,0.0040860759030469,0.1,0,0.31,1.31215869152547,0.221858023609816,0.00282797129619801,0.0822864293373045,0.0157607683005727,0.00583758053368332,3.40154516510854,1.27279509601248,0.03,0.0580819938263744,0.0616144049887606,0.0396473952892917,0.125952710330081
